date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap
2025-05-06,2059,川湖,1855.0,1024298.0,19.0,1723.27,1690.95,1600.55,surge,2025-04-25,6,0.827,A,176776120500
2025-05-06,2615,萬海,85.7,14327125.0,12.28,81.82,81.65,81.53,gap,2025-04-14,15,0.806,A,240486746480
2025-05-06,2207,和泰車,650.0,783356.0,5.09,610.06,606.87,612.3,surge,2025-04-10,17,0.849,B,362116820000
2025-05-07,2383,台光電,612.0,4277231.0,26.18,562.56,558.71,545.62,gap,2025-05-02,3,0.838,A,219292513200
2025-05-07,2059,川湖,1865.0,876795.0,16.35,1736.76,1696.66,1604.93,surge,2025-04-25,7,0.825,A,177729091500
2025-05-07,2615,萬海,86.0,10604171.0,9.12,82.22,81.79,81.6,gap,2025-04-14,16,0.785,A,241328590400
2025-05-08,2383,台光電,662.0,13932287.0,92.23,572.03,562.1,547.55,surge,2025-05-08,0,0.811,A,237208568200
2025-05-08,2059,川湖,1920.0,2228346.0,42.78,1754.22,1703.98,1610.13,surge,2025-04-25,8,0.81,A,182970432000
2025-05-08,2615,萬海,84.5,11095105.0,9.38,82.43,81.88,81.65,gap,2025-04-14,17,0.798,A,237119370800
2025-05-08,2618,長榮航,43.4,35600167.0,15.45,40.48,41.42,41.4,surge,2025-04-11,18,0.81,A,234379282620
2025-05-08,2207,和泰車,637.0,186215.0,1.19,615.38,608.97,613.19,surge,2025-04-10,19,0.843,B,354874483600
2025-05-09,2383,台光電,679.0,9145587.0,62.1,582.22,565.93,549.72,surge,2025-05-08,1,0.8,A,243300026900
2025-05-09,2059,川湖,1890.0,1278211.0,24.16,1767.15,1710.08,1614.76,surge,2025-04-25,9,0.84,A,180111519000
2025-05-09,2615,萬海,86.6,12704438.0,11.0,82.83,82.04,81.73,gap,2025-04-14,18,0.815,A,243012278239
2025-05-09,2618,長榮航,43.5,34180575.0,14.87,40.77,41.49,41.44,surge,2025-04-11,19,0.847,A,234919327050
2025-05-12,2383,台光電,675.0,5579741.0,37.66,670.14,599.13,567.24,surge,2025-05-08,2,0.813,A,241866742500
2025-05-12,6669,緯穎,2255.0,3479303.0,78.46,2195.92,2062.41,2084.32,surge,2025-05-02,6,0.834,B,419071004000
2025-05-12,2345,智邦,674.0,5291455.0,35.66,650.1,631.57,632.61,surge,2025-04-29,8,0.776,B,378193464600
2025-05-12,2615,萬海,87.9,11699356.0,10.28,82.76,82.05,81.75,gap,2025-04-14,19,0.841,A,246660268560
2025-05-12,3231,緯創,108.5,27535005.0,29.88,106.85,104.77,105.66,gap,2025-04-14,19,0.832,B,345074734550
2025-05-13,2383,台光電,674.0,5695722.0,38.39,670.51,601.59,569.0,surge,2025-05-08,3,0.819,A,241508421400
2025-05-13,6669,緯穎,2225.0,3069376.0,68.29,2198.69,2067.74,2086.65,surge,2025-05-02,7,0.845,B,413495780000
2025-05-13,2345,智邦,681.0,5539818.0,37.73,653.04,633.19,633.41,surge,2025-04-29,9,0.769,B,382121289900
2025-05-13,2059,川湖,1925.0,1063313.0,20.47,1928.56,1778.03,1654.66,surge,2025-04-25,11,0.847,A,183446917500
2025-05-14,2383,台光電,687.0,5961660.0,40.96,672.08,604.39,570.95,surge,2025-05-08,4,0.807,A,246166595700
2025-05-14,6669,緯穎,2345.0,4377915.0,102.66,2212.62,2076.83,2090.92,surge,2025-05-02,8,0.801,B,435796676000
2025-05-14,2345,智邦,718.0,7726710.0,55.48,659.23,635.97,634.81,surge,2025-04-29,10,0.73,A,402882652200
2025-05-14,2059,川湖,1940.0,1198287.0,23.25,1929.65,1783.34,1659.37,surge,2025-04-25,12,0.844,A,184876374000
2025-05-15,2603,長榮,245.5,47743430.0,117.21,215.47,213.95,212.15,gap,2025-05-13,2,0.843,A,531518056500
2025-05-15,2383,台光電,685.0,3301070.0,22.61,673.31,607.03,572.84,surge,2025-05-08,5,0.81,A,245449953500
2025-05-15,6669,緯穎,2380.0,1948029.0,46.36,2228.56,2086.77,2095.7,surge,2025-05-02,9,0.79,B,442301104000
2025-05-15,2345,智邦,724.0,4397393.0,31.84,665.4,638.86,636.28,surge,2025-04-29,11,0.72,A,406249359600
2025-05-15,2059,川湖,2000.0,769899.0,15.4,1936.35,1790.45,1665.0,surge,2025-04-25,13,0.818,A,190594200000
2025-05-16,2615,萬海,111.0,145521844.0,161.53,88.86,84.38,82.97,surge,2025-05-16,0,0.769,A,311482250400
2025-05-16,2603,長榮,260.5,79214121.0,206.35,219.76,215.48,212.95,gap,2025-05-13,3,0.794,A,563993701500
2025-05-16,2609,陽明,84.0,235712727.0,198.0,72.89,72.12,71.42,gap,2025-05-13,3,0.84,A,293336761200
2025-05-16,2383,台光電,684.0,3473762.0,23.76,674.33,609.55,574.68,surge,2025-05-08,6,0.815,A,245091632400
2025-05-16,6669,緯穎,2380.0,2055365.0,48.92,2242.99,2096.39,2100.4,surge,2025-05-02,10,0.789,B,442301104000
2025-05-16,2345,智邦,716.0,2718411.0,19.46,670.22,641.39,637.6,surge,2025-04-29,12,0.728,A,401760416400
2025-05-16,2357,華碩,634.0,3454358.0,21.9,592.87,596.8,596.69,surge,2025-04-25,14,0.845,A,470910030200
2025-05-16,2059,川湖,2020.0,752774.0,15.21,1944.32,1797.97,1670.87,surge,2025-04-25,14,0.81,A,192500142000
2025-05-19,2615,萬海,112.0,107587813.0,120.5,91.06,85.29,83.45,surge,2025-05-16,1,0.765,A,314288396800
2025-05-19,2603,長榮,254.5,37909432.0,96.48,223.07,216.76,213.64,gap,2025-05-13,4,0.813,A,551003443500
2025-05-19,2609,陽明,83.3,115578478.0,96.28,73.89,72.48,71.62,gap,2025-05-13,4,0.847,A,290892288190
2025-05-19,2383,台光電,667.0,3419902.0,22.81,673.63,611.44,576.2,surge,2025-05-08,7,0.841,A,239000173700
2025-05-19,6669,緯穎,2260.0,2443669.0,55.23,2244.61,2101.75,2103.03,surge,2025-05-02,11,0.831,B,420000208000
2025-05-19,2345,智邦,705.0,4254912.0,30.0,673.53,643.47,638.72,surge,2025-04-29,13,0.739,A,395588119500
2025-05-19,2059,川湖,1965.0,1099959.0,21.61,1946.29,1803.45,1675.73,surge,2025-04-25,15,0.835,A,187258801500
2025-05-20,2615,萬海,112.0,65699262.0,73.58,93.06,86.17,83.92,surge,2025-05-16,2,0.766,A,314288396800
2025-05-20,2603,長榮,257.5,24833927.0,63.95,226.35,218.09,214.37,gap,2025-05-13,5,0.803,A,557498572500
2025-05-20,2609,陽明,83.5,62501355.0,52.19,74.8,72.84,71.81,gap,2025-05-13,5,0.844,A,291590709050
2025-05-20,2383,台光電,676.0,2610393.0,17.65,673.86,613.55,577.85,surge,2025-05-08,8,0.834,A,242225063600
