date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap,exit_10pct_date,max_return_20d,ema20_cross_date,first_r_date
2024-03-01,6669,緯穎,2500.0,4520859.0,113.02,2211.21,2016.7,1846.51,gap,2024-03-01,0,0.882,A,464602000000,2024-03-15,2.4,2024-02-27,True
2024-03-01,1519,華城,538.0,1036449.0,5.58,490.67,408.53,344.0,surge,2024-02-23,4,0.847,A,169943870400,,46.47,2023-12-27,False
2024-03-01,2454,聯發科,1105.0,12340648.0,136.36,1035.19,972.61,912.09,surge,2024-02-23,4,0.864,A,1772322981000,,11.31,2024-02-19,False
2024-03-01,2376,技嘉,361.0,30339144.0,109.52,330.5,295.32,275.15,gap,2024-02-15,10,0.846,A,241829892900,2024-03-14,0.42,2024-01-10,False
2024-03-04,1519,華城,528.0,835360.0,4.41,494.23,412.45,347.04,surge,2024-02-23,5,0.872,A,166785062400,,49.24,2023-12-27,False
2024-03-04,2454,聯發科,1150.0,12662274.0,145.62,1046.13,978.43,916.02,surge,2024-02-23,5,0.833,A,1844499030000,,6.96,2024-02-19,False
2024-03-04,2330,台積電,725.0,97210112.0,704.77,686.12,637.9,604.28,gap,2024-02-15,11,0.88,A,18801080262500,,8.28,2024-01-17,False
2024-03-04,2376,技嘉,354.5,36270375.0,128.58,332.78,297.26,276.46,gap,2024-02-15,11,0.866,A,237475615050,2024-03-14,2.26,2024-01-10,False
2024-03-05,6669,緯穎,2560.0,3109218.0,79.6,2264.57,2048.09,1868.03,gap,2024-03-01,2,0.862,A,475752448000,2024-03-14,0.0,2024-02-27,False
2024-03-05,1519,華城,549.0,1169532.0,6.42,499.44,416.93,350.38,surge,2024-02-23,6,0.848,A,173418559200,,44.26,2023-12-27,False
2024-03-05,2454,聯發科,1155.0,8791366.0,101.54,1056.5,984.22,919.97,surge,2024-02-23,6,0.831,A,1852518591000,,6.49,2024-02-19,False
2024-03-05,2330,台積電,730.0,73299411.0,535.09,690.29,640.92,606.36,gap,2024-02-15,12,0.876,A,18930742885000,,8.22,2024-01-17,False
2024-03-05,2376,技嘉,361.5,18039673.0,65.21,335.52,299.37,277.87,gap,2024-02-15,12,0.854,A,242164837350,2024-03-14,0.28,2024-01-10,False
2024-03-06,6669,緯穎,2560.0,2336768.0,59.82,2292.71,2064.88,1879.47,gap,2024-03-01,3,0.865,A,475752448000,2024-03-14,-1.95,2024-02-27,False
2024-03-06,1519,華城,555.0,873104.0,4.85,504.74,421.46,353.76,surge,2024-02-23,7,0.85,A,175313844000,,47.03,2023-12-27,False
2024-03-06,2454,聯發科,1190.0,10101276.0,120.21,1069.21,990.96,924.44,surge,2024-02-23,7,0.807,A,1908655518000,,3.36,2024-02-19,False
2024-03-06,2330,台積電,735.0,52464833.0,385.62,694.55,644.01,608.49,gap,2024-02-15,13,0.869,A,19060405507500,,7.48,2024-01-17,False
2024-03-06,2376,技嘉,362.5,13889639.0,50.35,338.09,301.44,279.27,gap,2024-02-15,13,0.858,A,242834726250,2024-03-14,-0.69,2024-01-10,False
2024-03-06,2383,台光電,514.0,6269798.0,32.23,490.39,446.57,413.13,gap,2024-02-15,13,0.889,A,184177045400,2024-03-12,1.56,2024-01-10,False
2024-03-07,6669,緯穎,2510.0,2519865.0,63.25,2313.4,2079.47,1889.89,gap,2024-03-01,4,0.886,A,466460408000,2024-03-15,-1.39,2024-02-27,False
2024-03-07,1519,華城,541.0,1200825.0,6.5,508.19,425.38,356.86,surge,2024-02-23,8,0.886,A,170891512800,,50.83,2023-12-27,False
2024-03-07,2454,聯發科,1230.0,15486926.0,190.49,1084.53,998.8,929.49,surge,2024-02-23,8,0.783,A,1972812006000,,0.0,2024-02-19,False
